hour,day,weather,event,crowd_risk
22,Monday,Clear,Festival,66
14,Friday,Cloudy,Sports,68
7,Thursday,Rain,NoEvent,43
11,Monday,Rain,Festival,46
5,Tuesday,Rain,Festival,43
12,Saturday,Rain,Concert,72
12,Friday,Cloudy,Sports,52
2,Saturday,Rain,Concert,70
17,Friday,Clear,Festival,87
19,Friday,Rain,Sports,76
19,Thursday,Clear,Concert,82
14,Friday,Cloudy,NoEvent,58
17,Saturday,Clear,Sports,100
16,Friday,Clear,Concert,66
2,Wednesday,Clear,Sports,56
14,Friday,Clear,NoEvent,61
22,Sunday,Rain,Festival,61
1,Tuesday,Rain,NoEvent,48
14,Tuesday,Rain,Festival,56
2,Friday,Rain,Concert,44
7,Tuesday,Clear,Festival,54
17,Wednesday,Clear,NoEvent,90
0,Tuesday,Clear,Festival,65
8,Wednesday,Clear,Sports,70
14,Thursday,Rain,Sports,40
5,Thursday,Cloudy,Festival,62
6,Saturday,Rain,Sports,66
21,Saturday,Clear,Sports,97
22,Tuesday,Cloudy,Sports,61
17,Monday,Clear,Festival,73
11,Wednesday,Clear,Festival,58
20,Saturday,Rain,Festival,81
21,Wednesday,Cloudy,Sports,81
16,Sunday,Clear,Festival,70
14,Sunday,Clear,NoEvent,88
11,Sunday,Cloudy,NoEvent,82
18,Wednesday,Rain,Festival,76
3,Wednesday,Rain,Festival,40
20,Tuesday,Rain,Concert,69
12,Saturday,Clear,Concert,88
0,Thursday,Cloudy,NoEvent,50
20,Tuesday,Clear,NoEvent,78
7,Sunday,Cloudy,NoEvent,77
5,Wednesday,Clear,NoEvent,62
14,Sunday,Clear,Concert,74
2,Friday,Cloudy,Festival,62
11,Friday,Rain,NoEvent,44
4,Friday,Cloudy,NoEvent,55
17,Sunday,Rain,NoEvent,84
13,Tuesday,Cloudy,Concert,60
6,Wednesday,Clear,Concert,70
22,Thursday,Rain,NoEvent,47
0,Thursday,Clear,Sports,58
19,Sunday,Clear,Sports,100
8,Wednesday,Clear,Sports,67
9,Thursday,Rain,Sports,42
18,Sunday,Rain,Festival,99
1,Sunday,Rain,Sports,78
21,Thursday,Rain,NoEvent,62
14,Wednesday,Cloudy,NoEvent,68
14,Tuesday,Cloudy,NoEvent,52
4,Friday,Rain,Sports,58
20,Sunday,Cloudy,NoEvent,99
19,Monday,Cloudy,NoEvent,86
1,Thursday,Rain,Sports,58
1,Monday,Cloudy,Sports,58
21,Monday,Clear,Festival,71
0,Monday,Rain,NoEvent,53
16,Sunday,Cloudy,Concert,81
15,Saturday,Clear,NoEvent,79
8,Wednesday,Clear,NoEvent,57
16,Friday,Clear,Concert,58
15,Saturday,Rain,NoEvent,78
17,Saturday,Cloudy,NoEvent,100
1,Sunday,Cloudy,Sports,86
11,Wednesday,Rain,Concert,43
21,Friday,Rain,Festival,79
12,Wednesday,Rain,Festival,52
15,Thursday,Cloudy,NoEvent,56
19,Friday,Rain,Sports,77
19,Saturday,Rain,Festival,90
6,Thursday,Clear,NoEvent,59
21,Friday,Rain,Festival,75
18,Wednesday,Rain,Sports,67
21,Wednesday,Clear,NoEvent,90
15,Sunday,Clear,Festival,82
8,Sunday,Clear,Sports,79
2,Friday,Clear,Festival,64
14,Friday,Cloudy,Festival,64
8,Wednesday,Rain,Sports,56
17,Monday,Rain,NoEvent,65
16,Wednesday,Rain,Festival,56
21,Tuesday,Cloudy,Concert,70
21,Monday,Clear,Sports,80
0,Wednesday,Rain,Sports,54
5,Saturday,Rain,Festival,75
3,Friday,Cloudy,Sports,66
11,Wednesday,Clear,Concert,62
2,Saturday,Clear,Concert,87
14,Tuesday,Clear,Concert,70
18,Thursday,Rain,NoEvent,76
15,Saturday,Rain,Festival,69
9,Wednesday,Clear,Festival,68
1,Thursday,Cloudy,NoEvent,55
22,Thursday,Clear,NoEvent,56
23,Monday,Cloudy,NoEvent,57
15,Tuesday,Clear,Concert,55
15,Saturday,Cloudy,NoEvent,76
9,Saturday,Rain,Sports,60
2,Tuesday,Clear,NoEvent,67
1,Tuesday,Cloudy,NoEvent,54
0,Tuesday,Cloudy,Concert,70
23,Sunday,Rain,NoEvent,62
15,Wednesday,Clear,Concert,55
20,Wednesday,Rain,Concert,73
6,Wednesday,Cloudy,Concert,58
14,Friday,Clear,Festival,62
15,Saturday,Cloudy,Festival,81
11,Friday,Cloudy,NoEvent,63
8,Wednesday,Rain,NoEvent,52
7,Friday,Rain,NoEvent,52
13,Tuesday,Clear,Festival,52
9,Friday,Cloudy,Festival,59
19,Sunday,Clear,Sports,100
15,Wednesday,Rain,Concert,52
5,Friday,Clear,Festival,67
16,Thursday,Clear,NoEvent,51
0,Monday,Rain,Concert,44
8,Thursday,Cloudy,Festival,51
3,Wednesday,Cloudy,Concert,50
23,Wednesday,Clear,NoEvent,68
20,Thursday,Cloudy,Concert,78
6,Saturday,Rain,NoEvent,63
12,Thursday,Cloudy,Sports,61
17,Monday,Clear,Festival,83
0,Monday,Cloudy,Sports,60
14,Monday,Cloudy,Concert,67
13,Tuesday,Rain,NoEvent,54
8,Tuesday,Cloudy,Festival,54
17,Sunday,Cloudy,Concert,97
10,Wednesday,Clear,Concert,66
4,Monday,Rain,NoEvent,52
10,Sunday,Clear,Festival,88
0,Tuesday,Rain,NoEvent,40
20,Friday,Clear,Festival,78
21,Friday,Clear,Sports,74
15,Sunday,Rain,Festival,79
14,Monday,Rain,Festival,46
12,Thursday,Rain,Concert,50
1,Thursday,Cloudy,Sports,67
13,Thursday,Rain,NoEvent,59
16,Saturday,Clear,Festival,78
15,Sunday,Clear,Sports,90
20,Friday,Cloudy,Festival,78
5,Friday,Rain,Sports,40
23,Thursday,Cloudy,Festival,55
19,Saturday,Clear,Festival,97
23,Friday,Cloudy,Concert,67
19,Friday,Cloudy,Concert,79
10,Monday,Rain,Concert,60
0,Sunday,Cloudy,NoEvent,89
10,Sunday,Rain,NoEvent,75
9,Friday,Clear,Sports,68
